load_id,mileage,rate,rate_per_mile,origin,destination,company_name,contact_info,comments,registry_lookup_id,earliest_availability,latest_availability,created_date,modified_date
LS41krk0,2615,11000.0,4.2065009560229445,"Oceanside, CA","Holly Ridge, NC",Logistic Dynamics Inc/Ldi Trucking Inc,"{""phone"": {""number"": ""9014282227""}}","[{""comment"": ""Will need to Rent 150 pads and Loading ramp or have a LIftgate""}, {""comment"": ""Ref Load #858385""}]",S.501117.432483,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-28 05:24:47,2021-06-28 05:24:47
LS41krk0,2615,11000.0,4.2065009560229445,"Oceanside, CA","Holly Ridge, NC",Logistic Dynamics Inc/Ldi Trucking Inc,"{""phone"": {""number"": ""9014282227""}}","[{""comment"": ""Will need to Rent 150 pads and Loading ramp or have a LIftgate""}, {""comment"": ""Ref Load #858385""}]",S.501117.432483,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-28 04:24:46,2021-06-28 04:24:46
LS41krk0,2615,11000.0,4.2065009560229445,"Oceanside, CA","Holly Ridge, NC",Logistic Dynamics Inc/Ldi Trucking Inc,"{""phone"": {""number"": ""9014282227""}}","[{""comment"": ""Will need to Rent 150 pads and Loading ramp or have a LIftgate""}, {""comment"": ""Ref Load #858385""}]",S.501117.432483,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-28 04:24:46,2021-06-28 04:24:46
LS41krk0,2615,11000.0,4.2065009560229445,"Oceanside, CA","Holly Ridge, NC",Logistic Dynamics Inc/Ldi Trucking Inc,"{""phone"": {""number"": ""9014282227""}}","[{""comment"": ""Will need to Rent 150 pads and Loading ramp or have a LIftgate""}, {""comment"": ""Ref Load #858385""}]",S.501117.432483,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-28 03:19:47,2021-06-28 03:19:47
LS41krk0,2615,11000.0,4.2065009560229445,"Oceanside, CA","Holly Ridge, NC",Logistic Dynamics Inc/Ldi Trucking Inc,"{""phone"": {""number"": ""9014282227""}}","[{""comment"": ""Will need to Rent 150 pads and Loading ramp or have a LIftgate""}, {""comment"": ""Ref Load #858385""}]",S.501117.432483,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-28 03:19:47,2021-06-28 03:19:47
LS41krk0,2615,11000.0,4.2065009560229445,"Oceanside, CA","Holly Ridge, NC",Logistic Dynamics Inc/Ldi Trucking Inc,"{""phone"": {""number"": ""9014282227""}}","[{""comment"": ""Will need to Rent 150 pads and Loading ramp or have a LIftgate""}, {""comment"": ""Ref Load #858385""}]",S.501117.432483,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-28 04:24:46,2021-06-28 04:24:46
LS41krk0,2615,11000.0,4.2065009560229445,"Oceanside, CA","Holly Ridge, NC",Logistic Dynamics Inc/Ldi Trucking Inc,"{""phone"": {""number"": ""9014282227""}}","[{""comment"": ""Will need to Rent 150 pads and Loading ramp or have a LIftgate""}, {""comment"": ""Ref Load #858385""}]",S.501117.432483,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-28 05:24:47,2021-06-28 05:24:47
LS41krk0,2615,11000.0,4.2065009560229445,"Oceanside, CA","Holly Ridge, NC",Logistic Dynamics Inc/Ldi Trucking Inc,"{""phone"": {""number"": ""9014282227""}}","[{""comment"": ""Will need to Rent 150 pads and Loading ramp or have a LIftgate""}, {""comment"": ""Ref Load #858385""}]",S.501117.432483,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-28 04:24:46,2021-06-28 04:24:46
LS41knM7,3011,10000.0,3.3211557622052474,"Los Angeles, CA","Boston, MA",CONCISE FREIGHT INC,"{""phone"": {""countryCode"": ""1"", ""number"": ""7028996301""}}","[{""comment"": ""ext330""}]",S.381679.512686,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-27 20:48:36,2021-06-27 20:48:36
LS41mJr2,1545,10000.0,6.472491909385114,"Los Angeles, CA","Houston, TX",Eleart Inc,"{""email"": ""ilona@eleart.org""}","[{""comment"": ""424-738-5325 X 214 ROUND TRIP""}, {""comment"": ""Round Trip 1 DAY PAYMENT AVAILABLE""}]",S.350891.482035,2021-06-27 17:56:42,2021-06-28 06:59:59,2021-06-27 18:12:36,2021-06-27 18:12:36
LS41mGTe,3011,10000.0,3.3211557622052474,"Los Angeles, CA","Boston, MA",CONCISE FREIGHT INC,"{""phone"": {""countryCode"": ""1"", ""number"": ""7028996301""}}","[{""comment"": ""ext330""}]",S.381679.512686,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-27 20:48:36,2021-06-27 20:48:36
LS41mJr2,1545,10000.0,6.472491909385114,"Los Angeles, CA","Houston, TX",Eleart Inc,"{""email"": ""ilona@eleart.org""}","[{""comment"": ""424-738-5325 X 214 ROUND TRIP""}, {""comment"": ""Round Trip 1 DAY PAYMENT AVAILABLE""}]",S.350891.482035,2021-06-27 17:56:42,2021-06-28 06:59:59,2021-06-27 18:12:36,2021-06-27 18:12:36
LS41knM7,3011,10000.0,3.3211557622052474,"Los Angeles, CA","Boston, MA",CONCISE FREIGHT INC,"{""phone"": {""countryCode"": ""1"", ""number"": ""7028996301""}}","[{""comment"": ""ext330""}]",S.381679.512686,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-27 20:48:36,2021-06-27 20:48:36
LS41mJr2,1545,10000.0,6.472491909385114,"Los Angeles, CA","Houston, TX",Eleart Inc,"{""email"": ""ilona@eleart.org""}","[{""comment"": ""424-738-5325 X 214 ROUND TRIP""}, {""comment"": ""Round Trip 1 DAY PAYMENT AVAILABLE""}]",S.350891.482035,2021-06-27 17:56:42,2021-06-28 06:59:59,2021-06-27 18:12:36,2021-06-27 18:12:36
LS41knM7,3011,10000.0,3.3211557622052474,"Los Angeles, CA","Boston, MA",CONCISE FREIGHT INC,"{""phone"": {""countryCode"": ""1"", ""number"": ""7028996301""}}","[{""comment"": ""ext330""}]",S.381679.512686,2021-06-27 15:00:00,2021-06-28 06:59:59,2021-06-27 20:48:36,2021-06-27 20:48:36
LS41mJr2,1545,10000.0,6.472491909385114,"Los Angeles, CA","Houston, TX",Eleart Inc,"{""email"": ""ilona@eleart.org""}","[{""comment"": ""424-738-5325 X 214 ROUND TRIP""}, {""comment"": ""Round Trip 1 DAY PAYMENT AVAILABLE""}]",S.350891.482035,2021-06-27 17:56:42,2021-06-28 06:59:59,2021-06-27 18:12:36,2021-06-27 18:12:36
